response_id,is_correct
bjveano,1.0
cqxylmj,1.0
mdnmpln,1.0
bmmgbds,0.0
gqaetaj,1.0
uplqbjw,0.0
rbxogty,0.0
txjvcyf,0.0
yrcplgj,1.0
gyghdbq,1.0
cfewgjg,1.0
nzbdguc,1.0
xmgjyup,1.0
nflansu,1.0
gmfqgmy,1.0
zkwjnzk,0.0
wpoovos,1.0
eitoitq,1.0
qmydrkr,1.0
jrzrejh,1.0
npclhcw,1.0
bxkssjm,1.0
yialyub,1.0
goezkhx,0.0
qlastyn,0.0
ynmjqze,0.0
ojqqhpb,0.0
kftqsge,1.0
clfwwcd,0.0
jnmwcaw,1.0
pucdeyo,0.0
gaolcff,1.0
tdlgrqu,0.0
nobsxzo,1.0
hhzqkmn,1.0
ujdvent,1.0
udcuokf,0.0
ofsheyi,1.0
zzwwovb,0.0
hdstflt,1.0
ixmfpjd,1.0
idaopcx,0.0
svgrtxy,1.0
xhryhhd,1.0
ajyvtgk,0.0
vkkpwtm,1.0
ahunjwi,0.0
yljxtly,1.0
wwgdvvc,1.0
yzlhvse,1.0
noghsop,1.0
skgxjib,0.0
nneyrhv,1.0
rwqjbaz,0.0
eurgmnb,0.0
lrsimrr,1.0
ifhhznk,1.0
wlvdaqu,1.0
ftitniy,1.0
oqivqgq,0.0
hkycrve,0.0
xtfxjns,0.0
rxdhvmt,0.0
vzfwcxx,1.0
ymvclwf,0.0
ockfgqk,0.0
dunilnf,1.0
blycdeb,1.0
xjxjtqs,1.0
ntcjoxy,1.0
lallfux,0.0
onpkypq,1.0
jmsmcmw,1.0
fzuehxl,1.0
rfnpdif,0.0
dcdyrvq,1.0
btieruu,0.0
lqbvpis,0.0
bisxqer,1.0
cadnein,1.0
oepnpqe,0.0
zcnsbnb,0.0
sdyqfhx,0.0
cneprkl,0.0
btnepdu,1.0
rcbjmbi,1.0
ypgpnnj,1.0
psgyxea,1.0
gzhqrqh,0.0
temskyv,1.0
kqvdbes,1.0
eovgzlu,0.0
mcbvjhc,1.0
bjatxer,0.0
zvhodmc,1.0
wvfujxz,1.0
mkkpyys,1.0
txkiush,1.0
dhtpaem,1.0
sebysqh,0.0
ijslrcy,1.0
btilqfi,1.0
fqilmvh,0.0
haazdxe,1.0
cvnoztq,0.0
hzqoltl,0.0
xvwsquq,1.0
erqptna,1.0
djwsgip,1.0
xftnpcn,1.0
hmhtexj,1.0
rfkcclq,1.0
izyrafj,1.0
nugzdpi,1.0
wgswxza,1.0
gsrnqfe,1.0
upjcomm,0.0
jkkxylz,1.0
cjluwyc,0.0
ookrbfv,1.0
hpkkura,1.0
zgwmykm,0.0
nmxcqvj,0.0
ogleldm,1.0
heuqrqn,1.0
ojsiklp,1.0
kzqlehu,1.0
laovmqd,1.0
sqmbbpb,1.0
zjhlhyp,0.0
itvngau,1.0
tqbnuwh,0.0
cjgxcim,1.0
hbbakmq,1.0
vddncbu,1.0
wehrnfg,1.0
vyvrpik,0.0
nbaqgji,1.0
voxdgds,1.0
crkpsdb,0.0
mnmpush,1.0
aeokjlz,1.0
tnpbssc,0.0
qcodmui,1.0
fpqzghe,1.0
wgicowm,1.0
tmzhoav,1.0
lwfwynn,1.0
twqrxub,1.0
pcmxmzx,1.0
abkonhq,1.0
sprjirc,1.0
wwulfab,1.0
cvvxzbt,0.0
uozsraq,1.0
ggfksqt,1.0
bvcnwnk,1.0
pcpjpis,0.0
cyqtazm,1.0
jivmtss,1.0
bhekxki,1.0
iaurtmq,1.0
qyoesbv,1.0
yhbemxy,1.0
hfwuhsg,0.0
kulxkvq,1.0
rawgnth,1.0
qhlirtw,0.0
umalgmd,1.0
uzwqwhx,0.0
kmplaca,1.0
adbokfp,1.0
qxqzova,1.0
tsxspdt,1.0
neijpfz,1.0
peqjaqa,0.0
solgrlb,1.0
qwharjo,1.0
gmnqdvo,0.0
pwcikwu,0.0
ydwotkq,1.0
oivfmjc,1.0
ncruner,0.0
cqccbqy,0.0
avdmxzf,1.0
qgrzcye,1.0
gonvykv,1.0
acsjeqj,1.0
uzwfnnh,1.0
icycbgt,1.0
wbvbyom,1.0
xunsczq,0.0
uwdospv,1.0
nndugpj,1.0
cimqnjt,0.0
isxocqm,1.0
rthygna,0.0
hucussm,0.0
cmwefyh,1.0
eijrpkn,1.0
googglp,1.0
zzglrbr,1.0
wmzewwc,1.0
vnjscuc,1.0
zumjbxz,1.0
rqhebrp,0.0
aznwbmo,1.0
toqafpi,1.0
echhjgl,1.0
eaqpwqu,0.0
evczimw,1.0
djnyjdd,0.0
wrumktm,0.0
wrkvyuw,0.0
ffvddia,1.0
qoeldru,0.0
ydxqdwa,0.0
tegofbl,0.0
ybgdxos,0.0
oughhuy,0.0
pnvzcci,1.0
wqbgbyq,0.0
ufruooe,1.0
nwbplvm,0.0
zrwmetv,0.0
kxjwndo,1.0
ksxgoyp,1.0
skcizns,1.0
aiqcdkx,1.0
eabbeqg,1.0
icnorxs,0.0
cjoffqp,0.0
chhpuwn,0.0
wygixan,0.0
nwehehf,0.0
xokeipj,0.0
nrvfdgn,0.0
ujffivl,1.0
mpmsgau,1.0
iqpphcq,1.0
mcrcqjj,0.0
afqmzwf,1.0
ymxqddc,0.0
wcdsoga,1.0
lqpwahj,1.0
ymdenpt,1.0
bjfsdqb,0.0
crforlc,0.0
wwryagh,0.0
awzkbsa,1.0
fgfbqmc,1.0
qfdudxg,0.0
yapyfgu,0.0
umcfwit,0.0
bmbguti,1.0
nyuetgz,1.0
erhdkeo,0.0
ztbsmwg,0.0
inedeoq,1.0
laijugr,1.0
awtivkk,1.0
bhobezl,1.0
mslskpm,1.0
cnyfrov,1.0
warmqhf,1.0
