session_id,utterance_id,role,content,timestamp
qnuvjyz,0,background,[unclear],00:00:00
qnuvjyz,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
qnuvjyz,2,student,"Yes, I think so.",00:00:16
qnuvjyz,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
qnuvjyz,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
qnuvjyz,5,tutor,Uh-huh. And what would you do next?,00:00:40
qnuvjyz,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
qnuvjyz,7,tutor,Can you talk me through how you got that answer?,00:00:56
qnuvjyz,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
qnuvjyz,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
qnuvjyz,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
qnuvjyz,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
qnuvjyz,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
qnuvjyz,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
qnuvjyz,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
qnuvjyz,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
qnuvjyz,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
qnuvjyz,17,tutor,What do you notice about these two numbers?,00:02:16
qnuvjyz,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
qnuvjyz,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
qnuvjyz,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
qnuvjyz,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
qnuvjyz,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
qnuvjyz,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
qnuvjyz,24,student,6?,00:03:12
qnuvjyz,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
qnuvjyz,26,student,6?,00:03:28
qnuvjyz,27,tutor,What do you notice about these two numbers?,00:03:36
qnuvjyz,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
qnuvjyz,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
qnuvjyz,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
qnuvjyz,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
qnuvjyz,32,student,Maybe I should compare them as decimals first.,00:04:16
qnuvjyz,33,tutor,Can you talk me through how you got that answer?,00:04:24
qnuvjyz,34,student,Maybe I should compare them as decimals first.,00:04:32
