business,website,contact_method,contact_detail,status,notes
Greater San Diego Air Conditioning,gsdac.com,contact_form,https://www.gsdac.com/contactus,SENT,"Form submitted successfully with James Thompson outreach message. Fields: first name, last name, phone, email, subject, message. Only email on site was info@gsdac.com (bounced)."
San Diego Green HVAC,sandiegosgreenhvac.com,none_found,N/A,BLOCKED,"No contact form or email found anywhere on site. No /contact, /contact-us, or /contact/ pages exist. No mailto links. No forms on homepage, About Us, or any visible page. Only contact method is phone: 760-688-8556. Site has REQUEST SERVICE CTAs but they don't link to forms. BLOCKED - no email or form available."
DMG HVAC,dmghvac.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
Anderson Plumbing Heating & Air,andersonplumbingheatingandair.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
ACCO,accoes.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
HVAC San Diego King,topcoolingguys.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
858 Appliance Repair,858appliance.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
San Diego Roofing Inc,sandiegoroofing.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
Diamond Roofing,diamondroofing.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
Mr. Rooter Plumbing,mrrooter.com,not_checked,N/A,NOT_STARTED,"Task interrupted before reaching this business."
